ticker,corp_name,year,total_assets,total_liabilities,equity,operating_cf,investing_cf,financing_cf,proba
32350,롯데관광개발,2023,1.71E+12,1.62E+12,90117743113,,3888696464,49128143807,0.994947
46070,코다코,2023,3.16E+11,3.02E+11,14011155505,17774477167,-1365340809,-17612880180,0.992171
2880,대유에이텍,2023,3.73E+11,3.73E+11,35282578998,,914630829,-43939450985,0.987187
300,대유플러스,2023,73236399033,73236399033,-1.22E+11,-3167568447,15904234445,-7282403932,0.987154
67390,아스트,2023,3.76E+11,3.57E+11,18948624571,-1.50E+11,-33463614093,1.91E+11,0.986676
7460,에이프로젠,2023,6.17E+11,6.17E+11,2.53E+11,-21579779325,-69289279103,87359076666,0.984413
182400,엔케이맥스,2023,54412337037,54412337037,-8469137841,-10677078434,-9228865077,15563334217,0.983009
7610,선도전기,2023,85949794368,67572358948,18377435420,-12250173005,4310275885,2797834800,0.982597
18000,유니슨,2023,2.64E+11,1.99E+11,64577588791,,,,0.982248
20760,일진디스플,2023,1.11E+11,86178968655,25072127220,-8382040209,5243460466,-6193097484,0.981561
92190,서울바이오시스,2023,2.97E+11,2.97E+11,22070294777,28300698086,-20021466602,-7225116629,0.980333
71950,코아스,2023,68513120775,58798243623,9714877152,96859182,-869082036,896773313,0.979105
23790,동일철강,2023,73280949374,55143755756,18137193618,-3967095354,5048239309,,0.97866
307180,아이엘사이언스,2023,63801058908,63801058908,3057041285,-5751994700,-11087291530,23788268455,0.9772
9620,삼보산업,2023,2.01E+11,2.01E+11,10087679209,9725712896,1274434178,-11700894086,0.975356
11300,성안,2023,1.28E+11,1.28E+11,27247062538,-14125314635,-6857180363,20461104918,0.975265
317240,TS트릴리온,2023,76922597222,51213842941,25708754281,,,,0.97525
69110,코스온,2023,22919488707,39197079285,-16277590578,-1603871727,-3367077,1675689410,0.973758
63080,컴투스홀딩스,2023,3.14E+11,2.19E+11,94134250737,-983749558,-1090812693,2837709031,0.973592
71460,위니아,2023,1.71E+11,4.44E+11,-2.73E+11,-26976470719,36527222045,-30206251154,0.972994
68400,에스케이렌터카,2023,3.53E+12,3.00E+12,5.26E+11,,-35522376029,1.24E+11,0.972984
49120,파인디앤씨,2023,1.01E+11,1.01E+11,25148031891,409644753,-1004752377,3973999789,0.972023
97800,윈팩,2023,1.50E+11,1.50E+11,46724273483,-10381530060,-4713950136,18560123033,0.971618
40,KR모터스,2023,87609542298,63260193766,24349348532,-8237337557,-628514000,8961741236,0.971039
143210,핸즈코퍼레이션,2023,7.85E+11,4.91E+11,2.94E+11,,-14204834185,35556321515,0.969485
368600,아이씨에이치,2023,1.07E+11,65350395807,41442489202,-14032226457,-25353189460,29993568474,0.969467
66410,버킷스튜디오,2023,2.18E+11,1.27E+11,90983453373,-6295128332,6590030318,-9972025658,0.968836
10140,삼성중공업,2023,1.59E+13,1.59E+13,3.44E+12,-6.85E+11,-31076050049,7.21E+11,0.968717
249420,일동제약,2023,5.69E+11,4.03E+11,1.66E+11,-21106157753,-28679318277,48120825464,0.967756
334970,프레스티지바이오로직스,2023,3.06E+11,3.06E+11,99802775379,-4449042525,-19477118685,53979398000,0.965962
